date,status,gap,seconds,planned_cost_yuan,theta,day_end_soc_kwh
2025-07-14,0,0.0,0.058930206000241014,54454.14094671894,56605.90833046364,8700.0
2025-07-15,0,0.0,0.05860724000012851,57557.80917109539,55991.134978726564,8700.0
2025-07-16,0,0.0,0.07085700399966299,56969.48688732376,56174.49571138575,8700.0
2025-07-17,0,0.0,0.06338734900009513,54503.8867137145,29393.491206560113,3599.9999999999995
2025-07-18,0,0.0,0.17543077799973616,29181.384326450647,29249.116736546657,3599.999999999949
2025-07-19,0,0.0,0.1119229990003987,31282.99319007843,55391.48926516579,8700.0
2025-07-20,0,0.0,0.06609623499980444,55615.25239317814,54939.53911850922,8700.0
2025-07-21,0,0.0,0.05795499999976528,55305.56425006065,55748.821535462244,8700.0
2025-07-22,0,0.0,0.06430633399986618,57203.46219430966,55535.7636334642,8700.0
2025-07-23,0,0.0,0.07469519300002503,56812.50595279179,55519.99578073209,8700.0
2025-07-24,0,0.0,0.10589134200017725,54543.24046749421,28000.56609898689,3599.999999999974
2025-07-25,0,0.0,0.1460161570003038,27923.030755363685,28071.879688259556,3599.999999999999
2025-07-26,0,0.0,0.09643247600024552,30246.413791648727,54290.45143304271,8700.0
2025-07-27,0,0.0,0.07313468899974396,54973.301381082085,54024.9573329717,8700.0
2025-07-28,0,0.0,0.07451450000007753,55279.05115080578,55665.58928504445,8700.0
2025-07-29,0,0.0,0.07578592799973194,56978.897406655306,55865.16940621655,8700.0
2025-07-30,0,0.0,0.0860552449998977,57041.15633021327,55747.087504172436,8700.0
2025-07-31,0,0.0,0.04505174599989914,54247.937587527056,27062.67129927723,3600.000000000002
2025-08-01,0,0.0,0.10500405499988119,26925.50007323485,27124.689732465707,3600.0
2025-08-02,0,0.0,0.08212937899997996,29232.662035720492,53826.823700520275,8700.0
2025-08-03,0,0.0,0.06740066300017133,53977.82225322536,53078.93601376783,8700.0
2025-08-04,0,0.0,0.07145586000024196,52562.37812097636,51749.31226865894,8700.0
2025-08-05,0,0.0,0.055651077999755216,51105.100919872864,50026.48924924338,8700.0
2025-08-06,0,0.0,0.05891884799984837,50200.7613367983,48510.66951876094,8700.0
2025-08-07,0,0.0,0.06116340299968215,46515.31015264867,25266.62711300948,2399.999999999998
2025-08-08,0,0.0,0.07152285000029224,24545.23379777125,24997.167149219975,2399.999999999998
2025-08-09,0,0.0,0.14701530899992576,27498.128664432013,46271.59539379055,8700.0
2025-08-10,0,0.0,0.060581284999898344,47572.324909182265,46102.47584310995,8700.0
2025-08-11,0,0.0,0.06962157199996,47853.30868960251,45850.95626246337,8700.0
2025-08-12,0,0.0,0.058772306999799184,46844.414585831575,45552.48528535136,8700.0
2025-08-13,0,0.0,0.06851179799969032,47513.18576209831,45576.209730618284,8700.0
2025-08-14,0,0.0,0.06290753399980531,43973.10521442024,24257.080107274367,2400.0000000000014
2025-08-15,0,0.0,0.08391418199971667,24123.549276124508,24420.999050884835,2399.999999999999
2025-08-16,0,0.0,0.12161945899970306,27201.434182533507,46110.34795350473,8700.0
2025-08-17,0,0.0,0.05801029700023719,47571.61639284952,45958.18933739861,8700.0
2025-08-18,0,0.0,0.06383219899998949,47481.94784256335,45804.37781158373,8700.0
2025-08-19,0,0.0,0.05811432299969965,47580.52953974766,46023.651214100915,8700.0
2025-08-20,0,0.0,0.05857972600006178,47580.28093514795,45857.47297379405,8700.0
2025-08-21,0,0.0,0.061480302000290976,46000.06346181859,24251.793805820133,3599.9999999999995
2025-08-22,0,1.468771419655113e-16,0.12857076899990716,24468.555366010023,24226.501946097902,3600.0000000000005
2025-08-23,0,0.0,0.06172397099999216,27125.940067722055,47589.69660043837,8700.0
2025-08-24,0,0.0,0.05909939299999678,49736.83559095191,48217.231263625654,8700.0
2025-08-25,0,0.0,0.061196847000246635,49882.25918547745,47988.19365631703,8700.0
2025-08-26,0,0.0,0.06043094699998619,50429.4219730903,48945.69195132723,8700.0
2025-08-27,0,0.0,0.059445870999752515,50374.81666124167,49020.860685208296,8700.0
2025-08-28,0,0.0,0.09044507599992357,47695.66000753567,25327.734700915713,3600.0
2025-08-29,0,0.0,0.08022888799996508,25523.917903156755,25233.880450939778,3599.9999999999827
2025-08-30,0,0.0,0.09835647899990363,27836.207112556323,50152.15525810442,8700.0
2025-08-31,0,0.0,0.16010137800003577,50939.5851477215,49772.58414292971,8700.0
2025-09-01,0,0.0,0.06148688900020716,51070.45867380731,49804.775786433565,8700.0
2025-09-02,0,0.0,0.06255752499964728,50219.54252997876,49056.89450061617,8700.0
2025-09-03,0,0.0,0.05581257099993309,50009.264356643784,49261.017532587815,8700.0
2025-09-04,0,0.0,0.07659911300015665,47275.56711941126,24750.737073491,3600.0
2025-09-05,0,0.0,0.06436781499996869,24839.485861403144,24952.46977362249,3600.0000000000014
2025-09-06,0,0.0,0.06297760799998287,27011.04415634393,47058.4359606221,8700.0
2025-09-07,0,0.0,0.06036277399971368,48037.416349603576,43272.48744828959,8700.0
2025-09-08,0,0.0,0.056446648000019195,44034.57465991429,43238.717760191925,8700.0
2025-09-09,0,0.0,0.05741951499976494,44145.6202188507,43095.875630616494,8700.0
2025-09-10,0,0.0,0.06349317499962126,43826.10562855278,42896.02270580796,8700.0
2025-09-11,0,0.0,0.06750222299979214,41466.4065401773,20525.36050492635,3600.0000000000023
2025-09-12,0,0.0,0.06825002100003985,19682.146225540244,20116.16163989332,3599.999999999998
2025-09-13,0,0.0,0.10916839700030323,21224.710657443924,41463.61190440145,8700.0
2025-09-14,0,0.0,0.05777277800007141,41307.735157464514,38120.56016602489,8700.0
2025-09-15,0,0.0,0.0575135969997973,39080.75434698754,37940.2892880436,8700.0
2025-09-16,0,0.0,0.0631499989999611,39375.90740176925,38117.332375286234,8700.0
2025-09-17,0,0.0,0.061120948000279895,40309.767412017434,39186.18072377263,8700.0
2025-09-18,0,0.0,0.06259010300027512,38420.83409160713,17422.156805037615,3599.999999999993
2025-09-19,0,0.0,0.10415522899984353,17770.580258611964,17716.58975831471,3599.999999999976
2025-09-20,0,0.0,0.09081052200008344,20513.810741743702,41177.60980396448,8700.0
2025-09-21,0,0.0,0.07196052300014344,43490.856849952725,40283.73199616621,8700.0
2025-09-22,0,0.0,0.05600313600007212,41751.47089471235,40545.37332991838,8700.0
2025-09-23,0,0.0,0.06289514899981441,42588.33559909093,40829.39960063076,8700.0
2025-09-24,0,0.0,0.0761298520001219,43012.68727454859,41751.296901614915,8700.0
2025-09-25,0,0.0,0.09295948299995871,41209.98530481328,17519.53115280023,4800.0
2025-09-26,0,0.0,0.08625251800003753,18571.72639891533,18003.515401510558,4800.0
2025-09-27,0,1.1373305735725342e-16,0.11818082300032984,20612.032822347155,42463.02051988255,8700.0
2025-09-28,0,0.0,0.07167544300000372,44456.87265006862,41882.32353835193,8700.0
