date,days,purchase_kwh,emergency_kwh,actual_grid_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_kwh,discharge_kwh,curtailment_kwh,emergency_intervals,emergency_days,emergency_while_charging_kwh,emergency_while_charging_intervals,waste_while_discharging_kwh,soc_start_kwh,soc_end_kwh,v1_total_cost_yuan,savings_vs_v1_yuan,same_risk_no_storage_cost_yuan
2025-03-23,1,68335.22038996742,746.7311696670621,69081.95155963449,41194.107692636964,2767.6767436446494,43961.78443628162,21717.71996415104,17591.353170962342,6185.864649779108,34,1,226.14661386742728,8,1616.8381827054313,6000.000000000002,6000.000000000002,45022.80173692672,1061.0173006451005,55441.33581528685
2025-03-24,1,68027.55711695389,702.2528715329086,68729.8099884868,40991.5136127776,2488.495493024069,43480.00910580167,21591.07973129413,17488.77458234824,6629.007756207582,33,1,162.7369086139155,7,1368.1879757298889,6000.000000000002,6000.0000000000055,42513.36068338066,-966.6484224210071,55407.872592883425
2025-03-25,1,67516.56393039915,1382.8442289887785,68899.40815938792,40685.38163090013,4717.677020784687,45403.05865168481,21688.3566327754,17567.568872548076,3828.4956824939372,44,1,729.6050346417765,15,978.124907982253,6000.0000000000055,6000.000000000009,48392.46754267855,2989.4088909937345,56046.586166846006
2025-03-26,1,68259.82905131872,172.118910682797,68431.94796200152,41061.10026875416,473.04017427571944,41534.140443029886,21665.04935471296,17548.689977317503,8723.033717939396,13,1,31.95411721655125,2,2847.623823420377,6000.000000000009,6000.000000000005,40777.05665623184,-757.0837867980445,53713.93203317858
2025-03-27,1,67647.47970530714,602.0527985590222,68249.53250386615,40744.211478934565,2073.8519570470908,42818.063435981654,21647.64507728089,17534.592512597523,5419.490539182787,27,1,109.38640826048572,5,1729.9137429708805,6000.000000000005,6000.000000000002,44950.95898128855,2132.8955453068993,54671.60710986879
2025-03-28,1,30209.17216858985,363.981425241103,30573.15359383095,15402.45352208266,1376.1590265190011,16778.61254860166,16000.0,12960.000000000005,16711.272827164288,24,1,4.658258790630498,1,740.8956162013801,6000.000000000002,5999.999999999998,17049.08078695023,270.4682383485706,29221.345053518056
2025-03-29,1,30352.00118035456,210.60626394450372,30562.607444299065,15467.095698204601,807.219776280618,16274.31547448522,16000.000000000002,12959.999999999998,19815.39826096573,20,1,0.0,0,887.1999123268108,5999.999999999998,6000.0,16958.916324855923,684.6008503707035,28464.478844971287
2025-03-30,1,64265.603498415745,897.3218241300541,65162.9253225458,38669.54015101427,3465.227564627513,42134.76771564178,21407.774436518495,17340.29729357998,5749.82847960728,35,1,512.948713980222,13,1428.556138802099,6000.0,6000.0,42082.04795598338,-52.71975965840102,53705.8802706496
2025-03-31,1,63574.08142695085,2085.1725234147334,65659.25395036559,38198.91292946306,7878.455955697061,46077.368885160126,21491.359104041814,17408.000874273872,4624.506237264304,46,1,1499.241050591243,24,2403.8815182195035,6000.0,5999.999999999998,48423.79145712405,2346.4225719639217,54554.647032043045
2025-04-01,1,64358.5475993809,3273.4441751395852,67631.99177452049,38535.79454285568,9112.986079911507,47648.78062276718,21553.71807107266,17458.511637568852,3327.9338243500083,58,1,2757.1982927988656,24,1610.0749157295124,5999.999999999998,6000.000000000004,53391.690820520394,5742.910197753212,53872.33475482679
