date,days,purchase_kwh,emergency_kwh,actual_grid_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_kwh,discharge_kwh,curtailment_kwh,emergency_intervals,emergency_days,emergency_while_charging_kwh,emergency_while_charging_intervals,waste_while_discharging_kwh,soc_start_kwh,soc_end_kwh,v2b_total_cost_yuan,difference_vs_v2b_yuan
2025-07-20,1,87900.35850109266,934.2143919904888,88834.57289308315,55623.602393178146,4248.767791410429,59872.37018458857,17917.042552969113,14470.422410885398,13297.974534332776,37,1,508.2031144220114,17,419.0108487780348,7692.541471582069,7739.63264604828,56118.86068669952,3753.5094978890556
2025-07-21,1,87615.57466695526,1022.3566671347751,88637.93133409004,55313.91425006065,4845.409449345308,60159.323699405955,18654.41645491326,15286.880751707797,11280.646280884579,31,1,270.6158930037793,10,874.414441554341,7739.63264604828,7543.184398017106,56345.95060973968,3813.3730896662746
2025-07-22,1,90299.57065429755,826.1666530624327,91125.73730735999,57211.812194309656,4065.58716683819,61277.39936114784,18978.85726806942,15136.109217145113,13487.844639769015,33,1,231.5591804927327,12,697.5471713966133,7543.184398017106,7806.2568091183475,58991.511101048214,2285.8882600996294
2025-07-23,1,89882.2903824489,909.0692997631259,90791.35968221203,56820.8559527918,4360.209500916285,61181.065453708085,18899.33198761352,15515.48114714333,13190.961725075178,37,1,295.8349712227173,13,615.0188334987672,7806.2568091183475,7576.232101144596,58051.93734048536,3129.128113222723
2025-07-24,1,89828.79316059219,933.6475610074499,90762.44072159965,56951.023800827556,4425.727402789663,61376.75120361722,18623.272693408282,14599.877346455725,13122.573374647083,38,1,415.44142529128345,17,725.987220154907,7576.232101144596,8115.091584705693,59439.9780525445,1936.7731510727172
2025-07-25,1,46918.02199064915,1305.6130088150694,48223.634999464215,28078.911231575974,4821.201760150003,32900.112991725975,13088.984163381998,10903.370385173803,19532.701654589353,43,1,1008.1975357058259,30,275.8837901180607,8115.091584705693,7780.321348223046,28266.955235762474,4633.157755963501
2025-07-26,1,46713.8802515519,1311.4999037128944,48025.38015526479,28010.4650650421,4890.065348744445,32900.530413786546,14147.853726912339,11694.505376915196,17102.94023860098,40,1,1076.9104987639355,29,411.2714588893266,7780.321348223046,7519.494839205042,28327.562928754192,4572.967485032354
2025-07-27,1,87126.95969861052,825.0743743060623,87952.03407291658,54981.65138108208,3665.459196384299,58647.11057746638,21451.00550896166,17406.069545233604,10221.908309188519,39,1,352.00145037434146,18,806.207755332469,7519.494839205042,7485.322524788753,58297.19054523787,349.92003222851054
2025-07-28,1,87515.76796332424,1281.5720365784946,88797.33999990273,55287.40115080578,5718.816732091703,61006.21788289749,20181.627249456258,16622.469589723158,7283.305106836302,47,1,590.3091742263053,20,724.5889992564819,7485.322524788753,7179.376394051431,59436.322507625424,1569.8953752720627
2025-07-29,1,89979.59451313267,974.0909730603656,90953.68548619303,56987.247406655304,4327.50988120017,61314.75728785548,19209.884720319453,15479.25271420864,11153.80753008222,40,1,365.46910374861284,13,720.8416933393507,7179.376394051431,7269.1029598848945,59517.167650146584,1797.5896377088939
2025-07-30,1,90102.05231694649,1011.0784572548755,91113.13077420136,57049.50633021327,4808.225643637642,61857.73197385091,18423.089878419723,14741.206186287021,13327.993032068662,32,1,419.77251883064775,10,777.757725140525,7269.1029598848945,7470.765865699289,57398.31310896492,4459.418864885993
2025-07-31,1,89533.60905877277,958.5047108172123,90492.11376958998,56655.72092086038,4403.475610717494,61059.19653157787,19051.851525415506,15647.152622698477,12392.418600206287,37,1,378.58086533378423,12,734.0706895108369,7470.765865699289,7231.707102241607,57213.87926407079,3845.317267507082
2025-08-01,1,45625.52229108341,1105.6917408963586,46731.21403197977,27070.641453213935,4331.144204911025,31401.78565812496,13723.897281466709,11051.769987347961,22807.727071194357,42,1,949.4075278730286,32,380.23265879908996,7231.707102241607,7303.470225175022,27280.8388530554,4120.946805069561
2025-08-02,1,45413.27064044987,1009.2450177466967,46422.515658196564,26993.752223042968,3936.683003047268,30930.435226090234,13921.93825708897,11258.451453600099,22832.003921374362,42,1,736.438202031283,28,382.52645701408085,7303.470225175022,7323.824152554982,27149.109185572248,3781.3260405179863
2025-08-03,1,85781.18845032426,641.4993901218213,86422.68784044609,53986.17225322536,2952.09149132048,56938.26374454584,16660.478615867738,14148.12710073788,21070.856341982886,28,1,378.612975578554,15,562.5271266651627,7323.824152554982,6598.113683793858,55011.124685897754,1927.1390586480848
2025-08-04,1,83815.00149152974,846.6331575291854,84661.63464905892,52570.72812097636,3846.059386539025,56416.787507515386,17927.481548871558,14063.702074123374,15382.200090977405,33,1,423.325474818114,18,594.1697398971671,6598.113683793858,7106.511439863401,52839.26430081302,3577.523206702368
