date,variant,control_issue_time,last_observation_end,initial_soc_kwh,innovation_kwh,objective_yuan,lower_bound_yuan,recovery_error,used_reference,reference_gap,removed_simultaneous_kwh,seconds
2025-04-26,C0,2025-04-26T16:00,2025-04-26T16:00,10636.311897631267,40.19591074013482,357.8282199698492,357.8282199698488,3.979039320256561e-13,1,3.979039320256561e-13,0.0,0.006499600014649332
2025-04-26,C0,2025-04-26T17:00,2025-04-26T17:00,10800.0,39.00415645956358,308.145846621699,308.1458466216985,4.547473508864641e-13,1,4.547473508864641e-13,0.0,0.005601299984846264
2025-04-26,C0,2025-04-26T18:00,2025-04-26T18:00,10068.235595610951,-36.61500908249195,249.180999008467,249.18099900846667,3.410605131648481e-13,1,3.410605131648481e-13,0.0,0.00476630000048317
2025-04-26,C0,2025-04-26T19:00,2025-04-26T19:00,7103.104302640073,27.42268103885857,191.63336713104295,191.63336713104246,4.831690603168681e-13,1,4.831690603168681e-13,0.0,0.004417599993757904
2025-04-26,C0,2025-04-26T20:00,2025-04-26T20:00,4016.1328630375347,-10.811000272592366,117.70644675041925,117.70644675041926,1.4210854715202004e-14,1,-1.4210854715202004e-14,0.0,0.0038751999964006245
2025-04-26,C0,2025-04-26T21:00,2025-04-26T21:00,1333.5773225789949,43.690416408173974,81.53922267403689,81.53922267403688,1.4210854715202004e-14,1,1.4210854715202004e-14,0.0,0.0030918999982532114
2025-04-26,C0,2025-04-26T22:00,2025-04-26T22:00,1950.0,15.82496536198363,50.38161147945426,50.381611479454214,4.263256414560601e-14,1,4.263256414560601e-14,0.0,0.002509300014935434
2025-04-26,C0,2025-04-26T23:00,2025-04-26T23:00,4950.0,9.498681076457387,23.108252546315676,23.108252546315683,7.105427357601002e-15,1,-7.105427357601002e-15,0.0,0.002133599977241829
2025-04-27,C0,2025-04-27T00:00,,6000.0,0.0,1019.3484596798758,1019.3484596798751,6.821210263296962e-13,1,6.821210263296962e-13,0.0,0.016761100006988272
2025-04-27,C0,2025-04-27T01:00,2025-04-27T01:00,9750.0,-18.883249534713173,997.1656026891766,997.1656026891761,4.547473508864641e-13,1,4.547473508864641e-13,0.0,0.016422499989857897
2025-04-27,C0,2025-04-27T02:00,2025-04-27T02:00,10050.0,-54.136057375970495,979.0583040287355,979.0583040287355,0.0,1,0.0,0.0,0.01512570001068525
2025-04-27,C0,2025-04-27T03:00,2025-04-27T03:00,10050.0,-4.55258882747728,956.1537734735266,956.1537734735265,1.1368683772161603e-13,1,1.1368683772161603e-13,0.0,0.014359499997226521
2025-04-27,C0,2025-04-27T04:00,2025-04-27T04:00,10050.0,25.854588244693673,933.9139982124487,933.9139982124484,3.410605131648481e-13,1,3.410605131648481e-13,0.0,0.013535100006265566
2025-04-27,C0,2025-04-27T05:00,2025-04-27T05:00,10050.0,-21.63295659203277,917.780878780416,917.780878780416,0.0,1,0.0,0.0,0.01330180000513792
2025-04-27,C0,2025-04-27T06:00,2025-04-27T06:00,9422.910482651658,23.938070988462414,902.0355815614936,902.0355815614937,1.1368683772161603e-13,1,-1.1368683772161603e-13,0.0,0.012702999985776842
2025-04-27,C0,2025-04-27T07:00,2025-04-27T07:00,5899.731694794233,19.531929775266008,889.7150134823864,889.715013482386,4.547473508864641e-13,1,4.547473508864641e-13,0.0,0.012044500006595626
2025-04-27,C0,2025-04-27T08:00,2025-04-27T08:00,3954.9756021316634,17.332286391066532,833.6817085748577,833.6817085748571,5.684341886080801e-13,1,5.684341886080801e-13,0.0,0.010613299993565306
2025-04-27,C0,2025-04-27T09:00,2025-04-27T09:00,2251.5135772808576,49.48273993154318,787.010280049987,787.0102800499862,7.958078640513122e-13,1,7.958078640513122e-13,0.0,0.009939700015820563
2025-04-27,C0,2025-04-27T10:00,2025-04-27T10:00,2430.8865706794973,23.835100563715457,719.0833945530024,719.0833945530019,5.684341886080801e-13,1,5.684341886080801e-13,0.0,0.009601400000974536
2025-04-27,C0,2025-04-27T11:00,2025-04-27T11:00,3716.323761665342,20.52948271422673,626.7012397041292,626.7012397041287,4.547473508864641e-13,1,4.547473508864641e-13,0.0,0.008899400010704994
2025-04-27,C0,2025-04-27T12:00,2025-04-27T12:00,5883.309407525135,-113.8519614137602,559.7434367131818,559.7434367131815,3.410605131648481e-13,1,3.410605131648481e-13,0.0,0.009132900013355538
2025-04-27,C0,2025-04-27T13:00,2025-04-27T13:00,9470.121479670814,9.691816359093707,495.5488003859225,495.5488003859209,1.5916157281026244e-12,1,1.5916157281026244e-12,0.0,0.00749389998964034
2025-04-27,C0,2025-04-27T14:00,2025-04-27T14:00,10692.356275734488,13.43326762584232,430.559118665785,430.5591186657834,1.5916157281026244e-12,1,1.5916157281026244e-12,0.0,0.009239600010914728
2025-04-27,C0,2025-04-27T15:00,2025-04-27T15:00,10800.000000000004,83.3220317355131,406.0458858641782,406.0458858641768,1.4210854715202004e-12,1,1.4210854715202004e-12,0.0,0.006545299984281883
2025-04-27,C0,2025-04-27T16:00,2025-04-27T16:00,10800.000000000004,67.22617745756017,358.69828150236293,358.6982815023611,1.8189894035458565e-12,1,1.8189894035458565e-12,0.0,0.005979000008665025
2025-04-27,C0,2025-04-27T17:00,2025-04-27T17:00,10800.000000000004,115.3980441639743,297.9358214352529,297.93582143525094,1.9326762412674725e-12,1,1.9326762412674725e-12,0.0,0.0052878000133205205
2025-04-27,C0,2025-04-27T18:00,2025-04-27T18:00,10800.000000000004,47.05894547752007,265.3546217028075,265.3546217028049,2.6147972675971687e-12,1,2.6147972675971687e-12,0.0,0.004608399991411716
2025-04-27,C0,2025-04-27T19:00,2025-04-27T19:00,9319.365465510295,-10.101298009136485,207.262116138049,207.26211613804625,2.7569058147491887e-12,1,2.7569058147491887e-12,0.0,0.004066199995577335
2025-04-27,C0,2025-04-27T20:00,2025-04-27T20:00,4454.866276030474,10.738427330663967,133.3351957574255,133.33519575742287,2.6432189770275727e-12,1,2.6432189770275727e-12,0.0,0.003728299983777106
2025-04-27,C0,2025-04-27T21:00,2025-04-27T21:00,1200.0000000000032,-21.13352175098248,79.8008297428505,79.8008297428479,2.6005864128819667e-12,1,2.6005864128819667e-12,-3.5369238402280542e-12,0.0030236000020522624
2025-04-27,C0,2025-04-27T22:00,2025-04-27T22:00,1950.0000000000032,-15.921185917319804,49.49001996513658,49.49001996513508,1.4992451724538114e-12,1,1.4992451724538114e-12,0.0,0.002429499989375472
2025-04-27,C0,2025-04-27T23:00,2025-04-27T23:00,4950.000000000004,0.975738631022864,17.734636348320098,17.734636348318546,1.552535877635819e-12,1,1.552535877635819e-12,0.0,0.00202980000176467
2025-04-28,C0,2025-04-28T00:00,,6000.000000000004,0.0,1153.102772680693,1153.1027726806935,4.547473508864641e-13,1,-4.547473508864641e-13,0.0,0.01683700000285171
2025-04-28,C0,2025-04-28T01:00,2025-04-28T01:00,9750.000000000004,18.33173002086744,1122.6278865248762,1122.627886524877,9.094947017729282e-13,1,-9.094947017729282e-13,0.0,0.0168190999829676
2025-04-28,C0,2025-04-28T02:00,2025-04-28T02:00,10050.0,55.63245803019197,1104.5205878644358,1104.5205878644365,6.821210263296962e-13,1,-6.821210263296962e-13,0.0,0.015932700014673173
2025-04-28,C0,2025-04-28T03:00,2025-04-28T03:00,10050.0,9.590930761566483,1082.4970702961684,1082.4970702961693,9.094947017729282e-13,1,-9.094947017729282e-13,0.0,0.015404800011310726
2025-04-28,C0,2025-04-28T04:00,2025-04-28T04:00,10050.0,10.719675897204638,1057.593390184328,1057.5933901843289,9.094947017729282e-13,1,-9.094947017729282e-13,0.0,0.01429900000221096
2025-04-28,C0,2025-04-28T05:00,2025-04-28T05:00,10050.0,-45.71490614366553,1040.9019305593536,1040.9019305593547,1.1368683772161603e-12,1,-1.1368683772161603e-12,0.0,0.014122299995506182
2025-04-28,C0,2025-04-28T06:00,2025-04-28T06:00,9325.163950037286,16.651006081963146,1023.1218896046967,1023.1218896046985,1.8189894035458565e-12,1,-1.8189894035458565e-12,0.0,0.013767700002063066
2025-04-28,C0,2025-04-28T07:00,2025-04-28T07:00,5790.341254579237,24.586908622509384,1008.3492766455848,1008.349276645586,1.1368683772161603e-12,1,-1.1368683772161603e-12,0.0,0.012100000021746382
2025-04-28,C0,2025-04-28T08:00,2025-04-28T08:00,3892.304268290314,39.04524976265668,970.9896450716514,970.9896450716533,1.9326762412674725e-12,1,-1.9326762412674725e-12,0.0,0.011056200019083917
2025-04-28,C0,2025-04-28T09:00,2025-04-28T09:00,2209.3420404313847,185.7319782376036,905.9810351778345,905.9810351778345,0.0,1,0.0,0.0,0.01023329998133704
2025-04-28,C0,2025-04-28T10:00,2025-04-28T10:00,2440.6530140904497,195.85271204287105,838.0541496808494,838.0541496808504,1.0231815394945443e-12,1,-1.0231815394945443e-12,0.0,0.015085299994098023
2025-04-28,C0,2025-04-28T11:00,2025-04-28T11:00,3758.1600084867055,296.49746733257035,746.0435288204055,746.0435288204068,1.2505552149377763e-12,1,-1.2505552149377763e-12,0.0,0.014741600025445223
2025-04-28,C0,2025-04-28T12:00,2025-04-28T12:00,6041.021537575871,306.41991138569546,658.8512667844782,658.8512667844791,9.094947017729282e-13,1,-9.094947017729282e-13,0.0,0.009437400003662333
2025-04-28,C0,2025-04-28T13:00,2025-04-28T13:00,9438.950435833007,120.46603182548193,594.6566304572181,594.6566304572186,5.684341886080801e-13,1,-5.684341886080801e-13,0.0,0.008959500002674758
2025-04-28,C0,2025-04-28T14:00,2025-04-28T14:00,10636.947632679205,198.48400809317016,527.3337562234495,527.3337562234495,0.0,1,0.0,0.0,0.00795320002362132
2025-04-28,C0,2025-04-28T15:00,2025-04-28T15:00,10799.999999999998,153.6839395338671,497.9370204954251,497.9370204954255,3.979039320256561e-13,1,-3.979039320256561e-13,-2.0210993372731735e-12,0.0073265999963041395
2025-04-28,C0,2025-04-28T16:00,2025-04-28T16:00,10799.999999999998,124.20976891259849,447.08309993169485,447.0830999316955,6.252776074688882e-13,1,-6.252776074688882e-13,-2.0210993372731735e-12,0.007207799993921071
2025-04-28,C0,2025-04-28T17:00,2025-04-28T17:00,10799.999999999998,42.484013805186464,310.51388892013813,310.5138889201388,6.821210263296962e-13,1,-6.821210263296962e-13,-2.0210993372731735e-12,0.005905500001972541
2025-04-28,C0,2025-04-28T18:00,2025-04-28T18:00,10799.999999999998,32.724622651074014,219.56671642621615,219.56671642621734,1.1937117960769683e-12,1,-1.1937117960769683e-12,-2.0210993372731735e-12,0.005726600007619709
2025-04-28,C0,2025-04-28T19:00,2025-04-28T19:00,9346.285086421143,10.065981943112774,172.52448721011837,172.5244872101187,3.410605131648481e-13,1,-3.410605131648481e-13,0.0,0.004522300005191937
2025-04-28,C0,2025-04-28T20:00,2025-04-28T20:00,4492.317413519321,-7.174123944879966,119.54689501400308,119.54689501400357,4.831690603168681e-13,1,-4.831690603168681e-13,0.0,0.004006600007414818
2025-04-28,C0,2025-04-28T21:00,2025-04-28T21:00,1199.9999999999986,53.622315060252504,67.75565100631142,67.75565100631164,2.1316282072803006e-13,1,-2.1316282072803006e-13,0.0,0.0033699999912641943
2025-04-28,C0,2025-04-28T22:00,2025-04-28T22:00,1949.9999999999986,27.466651956084434,40.93092031442087,40.93092031442069,1.7763568394002505e-13,1,1.7763568394002505e-13,0.0,0.0026190000062342733
2025-04-28,C0,2025-04-28T23:00,2025-04-28T23:00,4949.999999999998,-14.217457936194705,9.743867140026373,9.743867140026136,2.362554596402333e-13,1,2.362554596402333e-13,0.0,0.0021284999966155738
2025-04-29,C0,2025-04-29T00:00,,5999.999999999998,0.0,1894.6416720201507,1894.6416720201498,9.094947017729282e-13,1,9.094947017729282e-13,0.0,0.01598060000105761
2025-04-29,C0,2025-04-29T01:00,2025-04-29T01:00,9749.999999999998,-21.730022700355335,1866.5901198700317,1866.590119870031,6.821210263296962e-13,1,6.821210263296962e-13,0.0,0.014843200013274327
2025-04-29,C0,2025-04-29T02:00,2025-04-29T02:00,10050.0,-10.394064209576527,1844.9242817381955,1844.924281738195,4.547473508864641e-13,1,4.547473508864641e-13,0.0,0.013969099993119016
2025-04-29,C0,2025-04-29T03:00,2025-04-29T03:00,10050.0,-7.958790865339324,1815.4528664282059,1815.4528664282052,6.821210263296962e-13,1,6.821210263296962e-13,0.0,0.013339700002688915
2025-04-29,C0,2025-04-29T04:00,2025-04-29T04:00,10050.0,25.33830851803816,1785.8767715778106,1785.8767715778097,9.094947017729282e-13,1,9.094947017729282e-13,0.0,0.012413299991749227
2025-04-29,C0,2025-04-29T05:00,2025-04-29T05:00,10050.0,-7.109207837497252,1763.9598411564987,1763.9598411564978,9.094947017729282e-13,1,9.094947017729282e-13,0.0,0.012459699995815754
2025-04-29,C0,2025-04-29T06:00,2025-04-29T06:00,10030.882156460646,-13.213654723634363,1737.6630592091483,1737.6630592091476,6.821210263296962e-13,1,6.821210263296962e-13,0.0,0.011925900005735457
2025-04-29,C0,2025-04-29T07:00,2025-04-29T07:00,6630.013477383198,-7.726557065779389,1721.0218991076279,1721.0218991076272,6.821210263296962e-13,1,6.821210263296962e-13,0.0,0.011040100012905896
2025-04-29,C0,2025-04-29T08:00,2025-04-29T08:00,4769.162359225421,-43.608128731358306,1679.3376573427151,1679.3376573427145,6.821210263296962e-13,1,6.821210263296962e-13,0.0,0.010205099999438971
2025-04-29,C0,2025-04-29T09:00,2025-04-29T09:00,2948.319974406616,-108.26511348666985,1582.4264325264978,1582.4264325264965,1.3642420526593924e-12,1,1.3642420526593924e-12,0.0,0.009342200006358325
2025-04-29,C0,2025-04-29T10:00,2025-04-29T10:00,2878.943619032369,-44.906275157713765,1374.4366115439022,1374.4366115439009,1.3642420526593924e-12,1,1.3642420526593924e-12,0.0,0.008836200024234131
2025-04-29,C0,2025-04-29T11:00,2025-04-29T11:00,3865.028581924481,-82.67198229291694,1145.220411092676,1145.2204110926755,4.547473508864641e-13,1,4.547473508864641e-13,0.0,0.0077797999838367105
2025-04-29,C0,2025-04-29T12:00,2025-04-29T12:00,6394.856175848516,43.2000653214306,888.0147930870565,888.0147930870561,4.547473508864641e-13,1,4.547473508864641e-13,0.0,0.007380399998510256
