date,soc_start_kwh,soc_end_kwh,emergency_kwh,emergency_cost_yuan
2025-08-15,2399.9999999999986,8700.000000000002,445.45908934164214,1599.9734797124486
2025-08-16,8700.000000000002,8700.0,327.0872632038048,1260.33915556085
2025-08-17,8700.0,8700.0,549.6218800368488,2355.816593836926
2025-08-18,8700.0,8700.0,744.1090038285114,3251.049964909076
2025-08-19,8700.0,8700.0,865.348868097306,3243.0725298358448
2025-08-20,8700.0,3599.9999999999995,3159.075166836804,12019.115714912687
2025-08-21,3599.9999999999995,3600.0000000000005,873.5119895080184,3193.6487186441177
2025-08-22,3600.0000000000005,8700.0,1016.6259286033869,3901.6593163820157
2025-08-23,8700.0,8700.0,298.48335973812283,963.9927804758964
2025-08-24,8700.0,8700.0,408.78245205666076,1548.714344436925
2025-08-25,8700.0,8700.0,1750.3827311760938,6297.484508858958
2025-08-26,8700.0,8700.0,396.3665964224616,1554.1710112938122
2025-08-27,8700.0,3600.000000000001,340.86699671667316,1642.1555715899497
2025-08-28,3600.000000000001,3600.0,2784.962198302407,10536.529696066013
2025-08-29,3600.0,8700.0,304.51344789163886,1297.8832135397097
2025-08-30,8700.0,8700.0,463.2523162756386,1379.2366091038962
2025-08-31,8700.0,8700.0,151.22230073129944,532.357198652283
2025-09-01,8700.0,8700.0,0.0,0.0
2025-09-02,8700.0,8700.0,0.0,0.0
2025-09-03,8700.0,3600.0000000000414,0.0,0.0
2025-09-04,3600.0000000000414,3600.0,3.9847197704585824,23.145244786708673
2025-09-05,3600.0,8700.0,0.0,0.0
2025-09-06,8700.0,8700.0,2.593849999999975,8.947485574999913
2025-09-07,8700.0,8700.0,197.75811600586624,812.8912096120947
2025-09-08,8700.0,8700.0,1321.311051011413,5633.967643223784
2025-09-09,8700.0,8700.0,65.59711734814783,254.70775575954704
2025-09-10,8700.0,3600.0000000000005,1981.539549980262,8517.996389907728
2025-09-11,3600.0000000000005,3599.999999999998,191.082207153197,828.6595176306166
2025-09-12,3599.999999999998,8700.000000000002,276.9192763277125,913.5786513057419
2025-09-13,8700.000000000002,8700.000000000002,367.0957075611451,1528.598637480265
2025-09-14,8700.000000000002,8700.0,1788.7230476011891,6092.401016540158
2025-09-15,8700.0,8700.000000000002,2126.816343478464,8568.143921768316
2025-09-16,8700.000000000002,8700.0,3448.8040363873065,10867.96006283377
2025-09-17,8700.0,3600.0000000000073,2003.891697389695,7009.96347662158
2025-09-18,3600.0000000000073,3599.9999999999945,1048.38303307578,4649.412393388166
2025-09-19,3599.9999999999945,8700.0,1068.9656323726333,3585.554520562145
2025-09-20,8700.0,8700.0,747.7915815267048,3041.9633160398103
2025-09-21,8700.0,8700.0,525.2611726063591,1949.4499150418067
2025-09-22,8700.0,8700.0,2036.3046692440726,7582.069868861627
2025-09-23,8700.0,8700.000000000002,1814.4757252514428,7865.570939351212
2025-09-24,8700.000000000002,4800.0,903.9206300133476,3213.5465698580797
2025-09-25,4800.0,4200.000000000001,1259.037345776702,4645.495055186493
2025-09-26,4200.000000000001,8700.0,342.2195664542318,1336.1504810792394
2025-09-27,8700.0,8700.0,1422.248155332468,5588.449611355891
2025-09-28,8700.0,8700.000000000002,704.1358810238197,2635.6604168228205
2025-09-29,8700.000000000002,8700.0,1009.1694969422651,4288.115668830411
2025-09-30,8700.0,8700.0,1501.2562638288891,6327.936836267742
2025-10-01,8700.0,4799.999999999999,126.00261391724456,274.46147299500547
2025-10-02,4799.999999999999,4800.000000000004,213.2201431607546,559.0125375292693
2025-10-03,4800.000000000004,8700.0,70.72068168180033,161.51279931465336
2025-10-04,8700.0,8700.0,156.6416430376171,561.856799301688
2025-10-05,8700.0,8700.0,258.9967594476717,558.106904606288
2025-10-06,8700.0,8700.0,439.45753778504684,1008.3831418614345
2025-10-07,8700.0,8700.000000000002,431.9636221185118,1582.9761034418123
2025-10-08,8700.000000000002,4800.000000000001,874.8855641146394,2841.167392214824
2025-10-09,4800.000000000001,4800.000000000003,247.66320522343221,960.4348418212946
2025-10-10,4800.000000000003,8700.0,458.76976910401726,1538.3233418861864
2025-10-11,8700.0,8700.0,85.54155390840845,349.6731682583047
2025-10-12,8700.0,8700.0,859.591996701634,3407.5605254616084
2025-10-13,8700.0,8700.000000000002,283.2047181170458,1161.3433729632231
2025-10-14,8700.000000000002,8700.0,948.8422628221757,3938.0176651391307
2025-10-15,8700.0,4800.000000000001,2235.3508088714675,9546.824582983349
2025-10-16,4800.000000000001,4799.999999999997,2402.2625926174496,10231.36627563249
2025-10-17,4799.999999999997,8700.000000000002,535.7086288505998,2405.69216791491
2025-10-18,8700.000000000002,8700.0,366.647280133664,1199.9895605180427
2025-10-19,8700.0,8700.0,1251.9797386357209,5272.8113515727655
2025-10-20,8700.0,8700.000000000002,1148.0743567255079,5293.725045830726
2025-10-21,8700.000000000002,8700.0,865.9868761970575,2892.663456682342
2025-10-22,8700.0,5999.999999999972,1499.0190798114859,7417.723489878834
2025-10-23,5999.999999999972,6000.00000000003,462.51659760870837,2022.7414051457222
2025-10-24,6000.00000000003,8700.0,731.5648570150207,3560.1156684389794
2025-10-25,8700.0,8700.0,453.914927737672,1977.688933417068
2025-10-26,8700.0,8700.0,307.37701056530005,1092.3382139577118
2025-10-27,8700.0,8700.0,460.8687663094753,1764.550495262051
