date,common_initial_soc_kwh,purchase_l1_difference_kwh,charge_l1_difference_kwh,discharge_l1_difference_kwh,r1_end_soc_kwh,r2_end_soc_kwh,end_soc_difference_kwh
2025-06-13,7447.160103496888,0.0,0.0,0.0,7687.415152247676,7687.415152247676,0.0
2025-06-14,7687.415152247673,0.0,0.0,0.0,8550.000000000002,8550.000000000002,0.0
2025-06-15,8550.000000000004,0.0,0.0,0.0,8549.999999999996,8549.999999999996,0.0
2025-06-16,8550.0,2.2737367544323206e-13,1.1368683772161603e-13,0.0,8549.999999999998,8549.999999999998,0.0
2025-06-17,8550.0,0.0,0.0,0.0,8549.999999999998,8549.999999999998,0.0
2025-06-18,8550.0,0.0,0.0,0.0,8550.0,8550.0,0.0
2025-06-19,8550.0,0.0,0.0,0.0,6797.8047984887635,6797.8047984887635,0.0
2025-06-20,6797.804798488764,0.0,0.0,0.0,5943.351167768085,5943.351167768085,0.0
2025-06-21,5943.351167768085,0.0,0.0,0.0,8550.0,8550.0,0.0
2025-06-22,8550.000000000004,0.0,0.0,0.0,8549.999999999996,8549.999999999996,0.0
2025-06-23,8550.0,0.0,0.0,0.0,8550.000000000004,8550.000000000004,0.0
2025-06-24,8550.0,2.2737367544323206e-13,1.1368683772161603e-13,0.0,8550.0,8550.0,0.0
2025-06-25,8550.0,0.0,0.0,0.0,8550.0,8550.0,0.0
2025-06-26,8550.000000000004,0.0,0.0,0.0,2558.287356316725,2558.287356316725,0.0
2025-06-27,2558.2873563167254,0.0,0.0,0.0,2657.049110906402,2657.049110906402,0.0
2025-06-28,2657.049110906406,0.0,0.0,0.0,8550.000000000002,8550.000000000002,0.0
2025-06-29,8550.0,0.0,0.0,0.0,8550.0,8550.0,0.0
2025-06-30,8550.0,0.0,0.0,0.0,8550.0,8550.0,0.0
2025-07-01,8550.0,0.0,1.1368683772161603e-13,0.0,8549.999999999996,8549.999999999996,0.0
2025-07-02,8550.0,0.0,0.0,0.0,8550.0,8550.0,0.0
2025-07-03,8550.0,0.0,1.1368683772161603e-13,0.0,2912.1329850815837,2912.1329850815837,0.0
2025-07-04,2912.1329850815837,0.0,0.0,0.0,2949.4532639340614,2949.4532639340614,0.0
2025-07-05,2949.453263934062,0.0,0.0,0.0,8550.0,8550.0,0.0
2025-07-06,8550.0,0.0,0.0,0.0,8550.0,8550.0,0.0
2025-07-07,8549.999999999998,0.0,0.0,0.0,8550.0,8550.0,0.0
2025-07-08,8550.0,0.0,0.0,0.0,8550.000000000004,8550.000000000004,0.0
2025-07-09,8550.0,0.0,0.0,0.0,8550.000000000002,8550.000000000002,0.0
2025-07-10,8550.0,0.0,1.1368683772161603e-13,0.0,3180.8144158400146,3180.8144158400146,0.0
2025-07-11,3180.8144158400128,0.0,0.0,0.0,3232.560285181637,3232.560285181637,0.0
2025-07-12,3232.5602851816357,0.0,0.0,0.0,8550.0,8550.0,0.0
2025-07-13,8549.999999999998,0.0,0.0,0.0,8550.000000000004,8550.000000000004,0.0
2025-07-14,8550.0,2.2737367544323206e-13,1.1368683772161603e-13,0.0,8549.999999999996,8549.999999999996,0.0
2025-07-15,8550.0,0.0,1.1368683772161603e-13,0.0,8550.0,8550.0,0.0
2025-07-16,8550.0,0.0,0.0,0.0,8550.000000000004,8550.000000000004,0.0
2025-07-17,8550.000000000004,0.0,0.0,0.0,3566.297532672428,3566.297532672428,0.0
