date,phase,horizon_hours,horizon_objective_yuan,horizon_planned_cost_yuan,first_day_planned_cost_yuan,horizon_final_soc_kwh,first_day_end_soc_kwh,seconds,objective_error
2025-05-01,evaluation,24,36578.828646603215,34710.02930006835,34710.02930006835,1200.0000000000014,1200.0000000000032,0.018043900025077164,7.275957614183426e-11
2025-05-02,evaluation,24,13772.51820914362,13154.229962362955,13154.229962362955,1200.0000000000039,1199.9999999999998,0.013352799986023456,9.094947017729282e-12
2025-05-03,evaluation,24,13947.796474196792,13332.761601386374,13332.761601386374,1199.9999999999973,1200.0000000000018,0.014262600016081706,0.0
2025-05-04,evaluation,24,38441.38569450199,36049.010796805815,36049.010796805815,1200.0,1200.0,0.01600879998295568,2.9103830456733704e-11
2025-05-05,evaluation,24,40061.35367708227,37345.79125916629,37345.79125916629,1200.000000000005,1200.0000000000032,0.015786799980560318,0.0
2025-05-06,evaluation,24,40016.046640710505,37419.09168170471,37419.09168170471,1200.0000000000005,1200.0000000000007,0.01862509999773465,4.3655745685100555e-11
2025-05-07,evaluation,24,40592.84982643332,38111.10297084345,38111.10297084345,1200.0000000000007,1199.9999999999998,0.01541299998643808,2.9103830456733704e-11
2025-05-08,evaluation,24,42487.10366860174,40106.349098300896,40106.349098300896,1200.0000000000032,1200.0000000000018,0.01917039998807013,5.093170329928398e-11
2025-05-09,evaluation,24,17428.06357346065,16411.45846620873,16411.45846620873,1200.0000000000025,1200.000000000002,0.013357999996514991,1.8189894035458565e-11
2025-05-10,evaluation,24,17545.070843493326,16589.305871505716,16589.305871505716,1199.9999999999977,1200.0,0.01534810001612641,2.9103830456733704e-11
2025-05-11,evaluation,24,43033.30775434703,40829.74164935924,40829.74164935924,1199.9999999999995,1200.0000000000005,0.018945899995742366,5.093170329928398e-11
2025-05-12,evaluation,24,43657.09376373629,41451.99367187637,41451.99367187637,1199.9999999999989,1200.0000000000007,0.017445600009523332,2.9103830456733704e-11
2025-05-13,evaluation,24,43388.477193205035,41255.79864871071,41255.79864871071,1200.0000000000002,1200.0000000000023,0.019169900013366714,1.4551915228366852e-11
