date,variant,alpha,base_planned_cost_yuan,margin_purchase_cost_yuan,purchase_kwh,margin_kwh,reserve_segments
2025-04-02,dp_closed,0.8,36114.86059113227,2116.3606516342043,62293.52665133531,2590.763293727835,59
2025-04-03,greedy_closed,0.8,36504.32057213403,2128.0605145790105,63076.269539106506,2604.6325118392137,0
2025-04-03,dp_fixed,0.8,36504.32057213403,2128.0605145790105,63076.269539106506,2604.6325118392137,55
2025-04-03,dp_closed,0.8,36504.32057213403,2128.0605145790105,63076.269539106506,2604.6325118392137,55
2025-04-04,greedy_closed,0.8,14024.92469539794,2135.7087761615467,30440.629943746593,2602.4974375561264,0
2025-04-04,dp_fixed,0.8,14024.92469539794,2135.7087761615467,30440.629943746593,2602.4974375561264,42
2025-04-04,dp_closed,0.8,14024.92469539794,2135.7087761615467,30440.629943746593,2602.4974375561264,42
2025-04-05,greedy_closed,0.8,13991.837914722215,2131.8688373891246,30340.55734043231,2589.824966146597,0
2025-04-05,dp_fixed,0.8,13991.837914722215,2131.8688373891246,30340.55734043231,2589.824966146597,40
2025-04-05,dp_closed,0.8,13991.837914722215,2131.8688373891246,30340.55734043231,2589.824966146597,40
2025-04-06,greedy_closed,0.8,35818.44505284408,2116.253153641182,61826.37592861861,2580.406603442773,0
2025-04-06,dp_fixed,0.8,35818.44505284408,2116.253153641182,61826.37592861861,2580.406603442773,56
2025-04-06,dp_closed,0.8,35818.44505284408,2116.253153641182,61826.37592861861,2580.406603442773,56
2025-04-07,greedy_closed,0.8,35653.19119591029,2132.2743367732774,61631.690810073094,2598.7067173093656,0
2025-04-07,dp_fixed,0.8,35653.19119591029,2132.2743367732774,61631.690810073094,2598.7067173093656,57
2025-04-07,dp_closed,0.8,35653.19119591029,2132.2743367732774,61631.690810073094,2598.7067173093656,57
2025-04-08,greedy_closed,0.8,35400.77232127123,2139.236784969008,61302.63700403759,2622.2409367386413,0
2025-04-08,dp_fixed,0.8,35400.77232127123,2139.236784969008,61302.63700403759,2622.2409367386413,56
2025-04-08,dp_closed,0.8,35400.77232127123,2139.236784969008,61302.63700403759,2622.2409367386413,56
2025-04-09,greedy_closed,0.8,35297.8606470134,2183.876968407082,61007.98587254953,2680.1171173604753,0
2025-04-09,dp_fixed,0.8,35297.8606470134,2183.876968407082,61007.98587254953,2680.1171173604753,52
2025-04-09,dp_closed,0.8,35297.8606470134,2183.876968407082,61007.98587254953,2680.1171173604753,52
2025-04-10,greedy_closed,0.8,35633.81384440671,2279.7581391408985,61663.968076019344,2774.109000702859,0
2025-04-10,dp_fixed,0.8,35633.81384440671,2279.7581391408985,61663.968076019344,2774.109000702859,48
2025-04-10,dp_closed,0.8,35633.81384440671,2279.7581391408985,61663.968076019344,2774.109000702859,48
2025-04-11,greedy_closed,0.8,13639.758133436178,2261.147699708106,30102.29670575352,2744.2652764154177,0
2025-04-11,dp_fixed,0.8,13639.758133436178,2261.147699708106,30102.29670575352,2744.2652764154177,41
2025-04-11,dp_closed,0.8,13639.758133436178,2261.147699708106,30102.29670575352,2744.2652764154177,41
2025-04-12,greedy_closed,0.8,13837.56734461554,2230.818705159779,30447.544449660163,2722.91313373864,0
2025-04-12,dp_fixed,0.8,13837.56734461554,2230.818705159779,30447.544449660163,2722.91313373864,40
2025-04-12,dp_closed,0.8,13837.56734461554,2230.818705159779,30447.544449660163,2722.91313373864,40
2025-04-13,greedy_closed,0.8,34544.22148001248,2082.6261780984187,59496.256941633386,2579.8984923121993,0
2025-04-13,dp_fixed,0.8,34544.22148001248,2082.6261780984187,59496.256941633386,2579.8984923121993,61
2025-04-13,dp_closed,0.8,34544.22148001248,2082.6261780984187,59496.256941633386,2579.8984923121993,61
2025-04-14,greedy_closed,0.8,34353.81578611324,2145.0761472851373,59419.68802028963,2656.3661742548948,0
2025-04-14,dp_fixed,0.8,34353.81578611324,2145.0761472851373,59419.68802028963,2656.3661742548948,60
2025-04-14,dp_closed,0.8,34353.81578611324,2145.0761472851373,59419.68802028963,2656.3661742548948,60
2025-04-15,greedy_closed,0.8,34314.270639603375,2148.9846626634267,59316.79654635871,2669.9206871054384,0
2025-04-15,dp_fixed,0.8,34314.270639603375,2148.9846626634267,59316.79654635871,2669.9206871054384,59
2025-04-15,dp_closed,0.8,34314.270639603375,2148.9846626634267,59316.79654635871,2669.9206871054384,59
2025-04-16,greedy_closed,0.8,34007.30466260092,2117.2053108279156,58792.39482932704,2626.2720571403142,0
2025-04-16,dp_fixed,0.8,34007.30466260092,2117.2053108279156,58792.39482932704,2626.2720571403142,60
2025-04-16,dp_closed,0.8,34007.30466260092,2117.2053108279156,58792.39482932704,2626.2720571403142,60
