date,days,purchase_kwh,emergency_kwh,actual_grid_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_kwh,discharge_kwh,curtailment_kwh,emergency_intervals,emergency_days,emergency_while_charging_kwh,emergency_while_charging_intervals,waste_while_discharging_kwh,soc_start_kwh,soc_end_kwh,no_storage_total_cost_yuan
2025-05-11,1,56376.62399410218,4625.363454910424,61001.9874490126,33546.55776101193,19405.13453004925,52951.692291061176,19929.56032003886,16142.943859231475,1731.2919048718795,97,1,2490.741949601453,36,911.8482536771737,6000.000000000002,6000.000000000001,58696.59089519836
2025-05-12,1,57311.74272760106,3569.2540937670406,60880.9968213681,34008.250238785666,13199.889167617423,47208.13940640309,19725.401886099306,15977.575527740435,5201.975229675895,73,1,1863.1080399601453,24,2809.0872073299115,6000.000000000001,6000.000000000004,55778.512077991276
2025-05-13,1,56679.083452040155,2111.8270966950577,58790.91054873521,33699.42781768279,9508.437772557389,43207.86559024017,19494.094691542534,15790.216700149454,1957.8197906754622,66,1,732.6675990844662,19,531.859951961724,6000.000000000004,6000.000000000003,53861.565580865856
2025-05-14,1,57134.37034990999,2324.325098167056,59458.695448077044,33930.26958152545,9969.91195860025,43900.181540125704,19368.541433158727,15688.518560858573,2764.523792443552,72,1,650.7495376149141,21,882.6762498646426,6000.000000000003,6000.0,54930.52584244031
2025-05-15,1,57188.07282479738,2344.4539193324313,59532.52674412981,34318.86111853802,9193.263928038594,43512.12504657661,19207.15208456371,15557.793188496607,3118.109564729378,66,1,454.5271855347511,15,893.1146104384029,6000.0,6000.000000000001,55150.314240563835
2025-05-16,1,26611.713260336885,1537.8221427828857,28149.53540311977,13313.92373858205,5959.799264492147,19273.7230030742,16000.0,12960.0,22394.028869786438,54,1,373.49498657154186,10,622.8007141550574,6000.000000000001,6000.0,30340.010731291735
2025-05-17,1,26702.812225398076,3575.1495650085553,30277.961790406633,13333.138813856189,15758.399381243988,29091.538195100176,15999.999999999998,12960.0,16789.1627070733,80,1,1942.4055496597307,25,467.8666776267547,6000.0,6000.0,32865.15462649216
2025-05-18,1,55531.16750827651,3618.415075636835,59149.58258391334,33466.968106620065,12833.136591941698,46300.104698561765,18167.203574263578,14715.434895153498,2021.6458048032603,86,1,1690.2606205393588,29,177.75184436579946,6000.0,5999.999999999996,54708.534053701784
2025-05-19,1,55446.70672134767,1586.9976768324786,57033.70439818015,33249.37416191229,7825.79265110984,41075.16681302213,18307.087465930606,14828.740847403791,6040.1412296533335,58,1,447.44934359314175,16,347.15852932528594,5999.999999999996,6000.000000000003,52031.87334391276
2025-05-20,1,54802.27951062533,4477.783810768338,59280.06332139367,32930.29018507812,17410.551960858094,50340.842145936214,18503.215854915,14987.604842481152,1237.0574922931564,86,1,2835.3392121096776,35,395.4654216381847,6000.000000000003,6000.0000000000055,54449.73794690723
2025-05-21,1,55232.1632039088,3205.8267096807867,58437.98991358958,33188.227574120625,13665.942434515555,46854.17000863618,18368.533931311846,14878.512484362602,3585.3531833070106,75,1,1280.9563316423214,24,971.0987980439136,6000.0000000000055,6000.000000000006,55073.41282698088
2025-05-22,1,54854.159173172426,1646.7869065158955,56500.94607968832,33292.823868890766,6676.894644887246,39969.71851377801,18142.139480665897,14695.132979339385,2237.3087616951443,68,1,683.9541269518545,21,317.629241707554,6000.000000000006,6000.0,50735.665824348616
2025-05-23,1,26597.296236949413,2239.4850171009343,28836.781254050347,13395.035418397089,8913.893794467731,22308.92921286482,16000.000000000002,12959.999999999998,19375.83237071701,72,1,1380.7711738828407,24,170.92092997010857,6000.0,6000.000000000004,28470.986420619312
2025-05-24,1,27002.250864778256,1133.7352539460082,28135.986118724264,13662.963359146488,4453.748986522519,18116.71234566901,16000.000000000002,12960.000000000002,21341.48473539093,46,1,307.1687102250295,8,484.9755666882855,6000.000000000004,6000.000000000002,28382.62220620917
2025-05-25,1,54672.923322243136,1268.6877799221713,55941.611102165305,33159.76293240041,5678.237872711562,38838.000805111966,18115.231120911198,14673.337207938073,3954.7070058588483,50,1,236.26288373000324,12,898.9418490929249,6000.000000000002,5999.999999999997,51224.74086742877
2025-05-26,1,53668.40399401421,5688.370944929785,59356.77493894399,32668.130052598306,21257.176008315993,53925.3060609143,17814.92410879623,14430.08852812494,1392.106408272703,82,1,3728.0139182636813,30,141.69818413701051,5999.999999999997,6000.0000000000055,54657.69092253904
2025-05-27,1,54955.65457133128,1762.8061746009832,56718.460745932265,33346.49011600448,7213.582283980694,40560.072399985176,18070.549730076797,14637.145281362205,3894.6889972176764,64,1,827.3931069774217,18,673.4582078487763,6000.0000000000055,6000.000000000004,50394.36054369498
2025-05-28,1,54355.91354563877,4309.721809888523,58665.63535552729,33058.697494852815,15396.04149246456,48454.738987317374,17882.674072188318,14484.965998472542,2994.103181811513,78,1,2812.573100564926,27,88.11200257646664,6000.000000000004,6000.000000000001,53263.40324853432
2025-05-29,1,54322.303098817494,4594.2377331058615,58916.540831923354,33026.82080353901,18975.39295689379,52002.2137604328,18160.66433151071,14710.138108523677,1355.8911089363246,96,1,2396.738940263756,34,180.49006876562655,6000.000000000001,5999.999999999998,57292.326589212644
2025-05-30,1,26745.829818646253,2779.844284702875,29525.674103349127,13488.120049276902,11277.792111314908,24765.91216059181,16000.0,12959.999999999998,19889.440836682457,59,1,1780.1873234983934,24,312.7134289774969,5999.999999999998,6000.0,29577.151756789222
2025-05-31,1,27173.67388850695,2906.1079564247193,30079.78184493167,13795.386437229801,11996.986488833458,25792.372926063257,15999.999999999996,12959.999999999996,18650.600294931668,64,1,1805.728926193297,18,280.84303627450925,6000.0,6000.000000000003,29258.554389279874
2025-06-01,1,56158.21424318721,18770.506812590007,74928.72105577722,33983.45443780694,73625.4760211446,107608.93045895154,18717.95457102171,15161.543202527588,147.4833872831012,134,1,11276.667728473674,48,110.27031634989572,6000.000000000003,6000.0,96320.32126915813
2025-06-02,1,57716.286019418636,15450.393210625463,73166.6792300441,34673.348129327875,63582.05744399821,98255.40557332608,18957.15602427266,15355.296379660856,924.012135432293,128,1,5277.139016238039,34,0.0,6000.0,6000.000000000002,99308.27559204413
2025-06-03,1,58849.608060966755,13000.759496144234,71850.36755711099,35432.89401317888,53418.959583694406,88851.85359687329,18905.527427753652,15313.477216480458,65.95051250446454,140,1,4868.242223717408,46,7.713928085462044,6000.000000000002,6000.0,91647.7477479118
2025-06-04,1,60459.200568788234,13017.707680497437,73476.90824928567,36231.26356652632,49282.66801217051,85513.93157869684,19332.11878904748,15659.016219128456,158.544862699979,134,1,6181.566230023689,44,127.80459005978196,6000.0,6000.000000000002,85576.52497622484
2025-06-05,1,61543.785411240635,13408.123563618337,74951.90897485898,36906.58520816019,51769.98792299135,88676.57313115154,19709.697084205127,15964.854638206154,57.748512193333006,139,1,4593.46074827703,42,40.84670203598205,6000.000000000002,6000.000000000004,93551.41429007742
2025-06-06,1,27387.455009540725,14429.919236504804,41817.374246045525,13972.832615439489,58158.001272875146,72130.83388831464,15999.999999999998,12960.000000000002,7922.378846045533,116,1,6936.988496282404,31,0.0,6000.000000000004,6000.000000000005,61197.17100616683
2025-06-07,1,28051.796363249854,11405.288789791892,39457.08515304174,14393.518195932327,44930.03285475775,59323.55105069008,15999.999999999998,12960.000000000007,5290.57198637509,117,1,5400.242302212698,33,52.10446752862214,6000.000000000005,5999.999999999998,54449.33377177944
2025-06-08,1,71084.62019517539,3771.360455783659,74855.98065095904,42951.21657296641,14909.683976126651,57860.90054909306,21816.213569070147,17671.132990946815,5525.976806169046,83,1,902.539091898371,19,3751.77222708251,5999.999999999998,6000.000000000003,68685.21720858596
2025-06-09,1,69674.90948140294,6732.684952348058,76407.594433751,42066.51709709581,27181.11973399855,69247.63683109437,21462.948144806014,17384.987997292876,1396.9215529045186,116,1,1554.058519773279,26,755.670236151374,6000.000000000003,6000.0,78837.11689574942
2025-06-10,1,70258.75125052055,6753.2327679281125,77011.98401844867,42464.10387145353,25953.189043060116,68417.29291451364,21713.427422419118,17587.876212159495,1267.9885748557126,113,1,1714.4251940236506,28,715.3394076476216,6000.0,6000.000000000001,77858.61659629377
2025-06-11,1,71003.76997668206,9598.528214899521,80602.29819158158,42763.39584498275,41666.415020742264,84429.81086572501,21707.885994981465,17583.38765593499,393.3535358684418,121,1,2379.8095736187106,27,0.0,6000.000000000001,6000.000000000002,94012.27960703774
2025-06-12,1,71950.14236794991,5858.383857170121,77808.52622512003,43590.70868427367,24079.492122235537,67670.20080650921,22312.69943097579,18073.286539090386,1116.7218999013005,106,1,1418.7074824572796,23,565.8608444842349,6000.000000000002,6000.000000000005,77849.99889606217
2025-06-13,1,30923.469364714336,4511.755477751778,35435.224842466116,16692.893821895257,18506.390277228646,35199.284099123906,15999.999999999996,12960.000000000004,4049.911142466121,100,1,1214.6432858289663,20,55.964769273212426,6000.000000000005,6000.0,44236.25509230012
2025-06-14,1,31196.09480910646,5461.665469587166,36657.760278693626,16828.615611658897,19894.656929624547,36723.27254128345,16000.000000000002,12959.999999999998,7424.417528693622,97,1,2179.3125400315826,32,407.3840886488823,6000.0,6000.000000000002,43849.53313483354
2025-06-15,1,73781.55707408939,3171.6206134209438,76953.17768751034,45004.878023290075,12909.206170320254,57914.08419361033,22349.14640304245,18102.808586464384,2079.8655375989288,74,1,1163.82980712876,21,830.725606588272,6000.000000000002,6000.0,67327.7100928729
2025-06-16,1,74347.09292124327,4085.9012321621294,78432.9941534054,45417.685507729366,16261.326792196767,61679.01229992613,22372.670623572652,18121.863205093847,1488.1339182599208,106,1,1049.200579041416,20,362.2347252166628,6000.0,6000.0,71862.36037100034
2025-06-17,1,74549.14597970748,5711.265098292073,80260.41107799955,45525.68857681128,22917.898564838582,68443.58714164986,22360.634758370463,18112.114154280076,1374.8792572424927,100,1,1436.1502632132053,25,875.9833481773906,6000.0,6000.0,78179.3358527724
2025-06-18,1,75422.42613897465,2653.8360700289522,78076.2622090036,46061.92418518761,10621.50262727952,56683.42681246713,22465.581301168328,18197.120853946348,2879.4108617816214,73,1,709.8422608933512,17,1820.37535733085,6000.0,6000.0,66495.78608871794
2025-06-19,1,74672.45684080147,2513.159232914108,77185.61607371559,45670.54587095592,10707.716468308543,56378.26233926446,22456.314466120228,18189.614717557386,4659.412125152741,68,1,218.32208778034766,9,1518.3308723563227,6000.0,6000.000000000002,67131.03674422021
2025-06-20,1,32078.49172349369,1862.940223163763,33941.43194665745,17709.361960214217,6708.4943586779955,24417.85631889221,16000.000000000002,12960.000000000002,8500.851096657452,53,1,388.4648584212209,8,757.946426418889,6000.000000000002,6000.000000000002,35957.631793707806
2025-06-21,1,32415.681100900492,1515.022077884309,33930.7031787848,17835.917727733216,5538.380800056227,23374.298527789444,15999.999999999998,12960.000000000002,11555.962778784804,55,1,189.66939923580208,8,392.9367274397,6000.000000000002,5999.999999999997,35190.98531614988
2025-06-22,1,73872.82579820577,2069.6443182683834,75942.47011647416,45234.21254090752,7599.655565326562,52833.868106234084,22182.0323584731,17967.446210363203,4270.542868364254,53,1,594.8980608839512,18,1971.0410169213967,5999.999999999997,6000.0,63061.225560181854
2025-06-23,1,73393.04445204699,1747.482924573725,75140.52737662071,44951.927879926356,7580.633744957187,52532.56162488354,21860.66424668915,17707.13803981821,3925.7151697497748,61,1,132.99104769048608,7,893.6533192788509,6000.0,6000.0,63533.52220508022
2025-06-24,1,72435.61193518343,8794.135198143558,81229.747133327,44385.55629128227,35653.6082008304,80039.16449211267,21642.931699715427,17530.7746767695,848.797860381064,108,1,3821.524726958435,28,185.36757732784338,6000.0,6000.0,86348.29952129639
